Point ID,Easting,Northing,Height
GS0014,320436.988,5814555.585,43.980
GS0013,320406.988,5814555.585,43.980
GS0012,320436.988,5814560.585,43.980
GS0011,320406.988,5814560.585,43.980
GS0010,320436.988,5814565.585,43.980
GS0009,320406.988,5814565.585,43.980
GS0008,320436.988,5814570.585,43.980
GS0007,320406.988,5814570.585,43.980
GS0006,320436.988,5814575.585,43.980
GS0005,320406.988,5814575.585,43.980
GS0004,320436.988,5814580.585,43.980
GS0003,320406.988,5814580.585,43.980
GS0002,320436.988,5814585.585,43.980
GS0001,320406.988,5814585.585,43.980
RTCM-Ref 0225,320396.984,5814593.782,44.515
