Point ID,Latitude,Longitude,Height
GS0014,-37.79874017967699,144.96047073061067,43.98
GS0013,-37.79873428125908,144.96013018023655,43.98
GS0012,-37.798695142255035,144.96047196941936,43.98
GS0011,-37.798689243846646,144.96013141925175,43.98
GS0010,-37.7986501048327,144.9604732082253,43.98
GS0009,-37.79864420643382,144.9601326582642,43.98
GS0008,-37.79860506740999,144.96047444702847,43.98
GS0007,-37.798599169020626,144.96013389727386,43.98
GS0006,-37.79856002998692,144.9604756858289,43.98
GS0005,-37.79855413160705,144.96013513628077,43.98
GS0004,-37.79851499256345,144.96047692462653,43.98
GS0003,-37.7985090941931,144.96013637528497,43.98
GS0002,-37.79846995513961,144.96047816342144,43.98
GS0001,-37.79846405677878,144.96013761428634,43.98
RTCM-Ref 0225,-37.798388255320674,144.96002608384933,44.515
